cell_id,centroid_x,centroid_y,area_pixels,area_microns_sq,perimeter_microns,equivalent_diameter_microns,major_axis_microns,minor_axis_microns,aspect_ratio,eccentricity,solidity,circularity,roundness,mean_green_intensity,max_green_intensity,min_green_intensity,green_intensity_std,mean_chlorophyll_intensity,max_chlorophyll_intensity,chlorophyll_intensity_std,chlorophyll_density,mean_red,mean_green,mean_blue,std_red,std_green,std_blue,color_variation,high_chlorophyll,biomass_estimate,cell_type,health_status,size_category,chlorophyll_category,cluster_id,timestamp,image_path
1,84.12385321100918,27.75,218.0,54.5,27.242640687119284,8.33015937350939,8.554867548624813,8.448983435947632,1.012532171885517,0.15684683372105596,0.9646017699115044,3.691203193284526,3.79262612562985,0.25848213505951395,0.46745493812530525,0.031892841780549346,0.1014998727493485,0.1788697028385386,0.1807423505312597,0.0014530185594674666,0.003282012896119974,0.43241590214067277,0.4441806080230257,0.41672962763086885,0.03788772315065111,0.03788772315065111,0.03788772315065111,0.08788438285626579,False,15.12886451194951,large_high,healthy,large,high,2,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif
2,92.3,44.92307692307692,325.0,81.25,45.230970388562795,10.171072362820547,13.962510794437426,8.882467739520406,1.571917985394373,0.7715526225969611,0.7454128440366973,1.9962798105535593,2.1225915738476515,0.4086562776139841,0.8098427679423608,0.12787211688115435,0.12410353803847905,0.17191939307431012,0.18434111988951857,0.018534684924964965,0.002115930991683817,0.48485067873303167,0.4955414781297134,0.46962292609351436,0.04743996328135687,0.046502064384736794,0.04799585333497336,0.09788717556764108,False,23.6793514482278,large_high,moderate,large,high,4,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif
3,37.75598086124402,46.52153110047847,209.0,52.25,40.50609665440987,8.156394191823509,12.046984672741331,8.909753175671556,1.352112054645477,0.67306462563728,0.6411042944785276,1.6007199615632808,1.8335792652294647,0.4467043811000675,0.7983770833730289,0.11959223430421383,0.15667178730036113,0.16196196459593876,0.18675816023738873,0.02696481116727944,0.0030997505185825598,0.48477343090346187,0.498151796603809,0.47160146355192795,0.056334348214863196,0.05305611894676435,0.05346796239870641,0.1119666146805041,False,14.99491664497377,large_high,stressed,large,high,4,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif
4,586.8101265822785,50.17088607594937,79.0,19.75,18.727922061357855,5.014626706796775,7.275113161722484,3.8389485269088954,1.8950796320211079,0.8494418040811639,0.8229166666666666,2.8304648674941713,1.9004554958764874,0.5758053067389677,0.7737329355822408,0.30348100961144925,0.08624223325379944,0.08333358182057343,0.08335284964036745,2.1816559036640205e-06,0.004219421864332832,0.5307520476545049,0.5346736162819559,0.51114420451725,0.02631693692754141,0.02631693692754141,0.02631693692754141,0.05007758448412989,False,5.855481862960682,small_low,healthy,small,low,2,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif
5,511.7083333333333,53.035714285714285,84.0,21.0,19.31370849898476,5.170882945826411,6.9032192069759315,4.170445627823674,1.6552713601923499,0.7968853597201967,0.8155339805825242,2.829813443376398,2.2443266994167654,0.5992026759031539,0.7707862169415926,0.3725504096829812,0.086692926830287,0.13070650416579654,0.13333910023262507,0.009287392175106662,0.006224119245990312,0.5510270774976658,0.5626050420168067,0.5355275443510737,0.02869333609955863,0.02864194169514682,0.028768891922450707,0.052210936032313804,False,7.308326778860032,small_medium,healthy,small,medium,2,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif
6,217.7391304347826,52.41304347826087,92.0,23.0,22.4350288425444,5.4115163798060095,7.853890530946826,4.449969194740784,1.764931438228602,0.82399694100452,0.7796610169491526,2.2969123716899387,1.899014402777644,0.5161648234268243,0.7291521652777995,0.1369875134908441,0.11899143953059804,0.14331484145038415,0.1441023901993745,0.0003259573308629288,0.00623108006306018,0.5427536231884058,0.5466751918158568,0.5231457800511509,0.04611173918193568,0.04611173918193568,0.04611173918193568,0.08578531372748893,False,7.21694256156324,small_medium,moderate,small,medium,2,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif
7,430.1781376518219,54.13157894736842,247.0,61.75,36.62741699796952,8.866935315394846,12.142288877676497,7.149553588967812,1.6983282559645085,0.8082683308174059,0.8372881355932204,2.3136317290625104,2.1330741365773265,0.5159613605466298,0.7648779008213175,0.2510590215871831,0.09752815119729745,0.1222315055180616,0.1366839762611276,0.02172204391229503,0.001979457579239864,0.5369691196316584,0.5464158132888783,0.5201238390092879,0.03422811148648935,0.03409727425114849,0.03411586195311048,0.06388567963208593,False,18.275450190014368,large_medium,moderate,large,medium,4,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif
8,365.05128205128204,55.34102564102564,195.0,48.75,39.66295090390226,7.878478774854901,15.07982519999575,5.772491626436882,2.6123598223916167,0.9238330386924327,0.6351791530944625,1.557666323597777,1.09182268944241,0.5613203218090286,0.7259929800435743,0.2919896690399014,0.07214176668154962,0.0879698318496538,0.0879698318496538,0.0,0.0018045093712749497,0.5615887380593263,0.5655103066867773,0.5419808949220714,0.02725896338153163,0.02725896338153163,0.02725896338153163,0.04899519082402531,False,12.957623582376987,medium_low,stressed,medium,low,0,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif
9,647.3552631578947,55.30921052631579,76.0,19.0,19.727922061357855,4.918490759365935,7.472668035515431,3.5879271662972103,2.0827256767386744,0.8771918474640898,0.8172043010752689,2.453922085413551,1.7328953310012838,0.5470104678206223,0.6795540241605582,0.33937768738621205,0.06692358199187977,0.0834657464561416,0.08351879327398615,3.58501356228385e-05,0.0043929340240074525,0.5068627450980392,0.5107843137254902,0.4872549019607843,0.01826268236293839,0.01826268236293839,0.01826268236293839,0.036406389596476525,False,5.26558562651222,small_low,moderate,small,low,2,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif
10,279.718954248366,54.591503267973856,153.0,38.25,32.33452377915607,6.978639737521917,11.411322633914603,5.288256999251362,2.157860829292158,0.8861377589059324,0.7251184834123223,1.8389433754879774,1.4959930662468666,0.5248133217738816,0.6729213493477191,0.26999522804277465,0.07941759125139095,0.12660421235534153,0.16801393383468352,0.018387184971327186,0.003309914048505661,0.5473023196206587,0.5526592336280918,0.5284121491733949,0.03205031709489554,0.03173602265218185,0.031857489405408036,0.05873579818331553,False,11.142885311953282,medium_medium,moderate,medium,medium,0,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif
