cell_id,centroid_x,centroid_y,area_pixels,area_microns_sq,perimeter_microns,equivalent_diameter_microns,major_axis_microns,minor_axis_microns,aspect_ratio,eccentricity,solidity,circularity,roundness,mean_green_intensity,max_green_intensity,min_green_intensity,green_intensity_std,mean_chlorophyll_intensity,max_chlorophyll_intensity,chlorophyll_intensity_std,chlorophyll_density,mean_red,mean_green,mean_blue,std_red,std_green,std_blue,color_variation,high_chlorophyll,biomass_estimate,cell_type,health_status,size_category,chlorophyll_category,cluster_id,timestamp,image_path
1,40.818652849740936,11.803108808290155,193.0,48.25,26.77817459305202,7.837972188868215,9.282956867825064,6.842147318753526,1.356731510644555,0.6758213055529562,0.9278846153846154,3.382246339150063,2.8516404240641906,0.294672475355324,0.8938770933796366,0.021623796502309653,0.18957429805749673,0.19576569756463522,0.2368765643536477,0.025218064804916687,0.0040573201567800045,0.590328151986183,0.6171289241085035,0.6003047851264859,0.0660573182911444,0.06542635526285108,0.06553766950282547,0.10898633679755244,False,14.556365176750543,medium_high,healthy,medium,high,1,Day3_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\2-2205.jfif
2,556.9795918367347,25.360544217687075,147.0,36.75,44.42031021678297,6.840435166640879,17.70453891971637,6.047446333874817,2.9276057929682255,0.9398541415389343,0.459375,0.9361900571810293,0.5971153168759435,0.5920316923028974,0.8938702438232491,0.06266529025380901,0.1841822282068838,0.14840425783124805,0.14915325567474486,0.0003819004263207173,0.004038211097448926,0.528264639189009,0.5400293450713619,0.512578364679205,0.06236581859881182,0.06236581859881182,0.06236581859881182,0.1183507674872911,False,11.313323412447678,medium_high,stressed,medium,high,0,Day3_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\2-2205.jfif
3,480.36301369863014,29.438356164383563,292.0,73.0,62.68376618407356,9.640875829802336,16.23138636627065,9.69480646837292,1.6742352123502229,0.8020271031826653,0.5417439703153989,0.9338616725433587,1.4111778098336236,0.5413375427233514,0.9360930043002648,0.11600803238981121,0.17239280185041467,0.10469949470645183,0.10517521328394919,0.00022589208106023377,0.0014342396535130387,0.5997582594681707,0.6076013967230728,0.5879935535858178,0.062424008211388285,0.062424008211388285,0.062424008211388285,0.1043092933548265,False,18.81218612321998,large_medium,stressed,large,medium,2,Day3_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\2-2205.jfif
4,56.76439790575916,27.945026178010473,191.0,47.75,28.31370849898476,7.797255174810172,9.279578521192681,6.779245576351165,1.3688217098320967,0.682853502203982,0.9502487562189055,2.993985676056143,2.8241449542818655,0.3232377795551575,0.7007667566892437,0.01957231062897918,0.14869630603566716,0.1807146235401972,0.18600707709448266,0.014206531692126373,0.0037845994458680044,0.6071039934298327,0.6302227697361668,0.6145980905451186,0.050199105701630435,0.049715889492960984,0.04980222661260249,0.08084411281978955,False,13.865579983908528,medium_high,healthy,medium,high,1,Day3_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\2-2205.jfif
5,63.7085020242915,27.829959514170042,247.0,61.75,30.31370849898476,8.866935315394846,9.076130309675916,8.894118558905284,1.020464282049444,0.19926271198472695,0.96484375,3.377759134859776,3.8177336569977895,0.2854655503489894,0.6270755966350751,0.03818154814404713,0.14385280252334678,0.1972034892483117,0.23947437995646267,0.0224197683976182,0.003193578773252011,0.5949988092402954,0.6210685083750099,0.6045090100817655,0.05038969920589208,0.04937521741794311,0.049632875714787125,0.08206071344869255,False,18.47785608542255,large_high,healthy,large,high,1,Day3_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\2-2205.jfif
6,33.043352601156066,28.15606936416185,173.0,43.25,36.298989873223334,7.420755373261929,10.313426206620019,7.913523298352685,1.3032660444390058,0.6412846811267416,0.7178423236514523,1.6499351994285674,2.0708578600300487,0.43705113366618864,0.9340338835703894,0.010728106102170412,0.24382907298736364,0.16064433526557326,0.182475884244373,0.03627094018911026,0.0037143198905334857,0.630964524538139,0.6516831009860591,0.6365408591182138,0.0761729282504276,0.07430458151091823,0.07473406746468672,0.11734729497816603,False,12.272327989034734,medium_high,stressed,medium,high,2,Day3_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\2-2205.jfif
7,497.5852459016393,31.30983606557377,305.0,76.25,50.33757210636101,9.853147481188747,14.726386384118353,8.835805791191612,1.6666715783634631,0.8000013261511736,0.6979405034324943,1.5126037540775323,1.7906783207716968,0.5403201259826904,0.8561495573279367,0.053866688759211925,0.17702139055494095,0.11577187530855333,0.16410140137217974,0.02303859309166357,0.0015183196761777485,0.5757119897139183,0.584365155898425,0.5631886853101896,0.05852644873833428,0.05857310781859917,0.058541420401470826,0.10192332129302226,False,21.343385020030034,large_medium,stressed,large,medium,2,Day3_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\2-2205.jfif
8,24.842995169082126,35.66425120772947,207.0,51.75,29.31370849898476,8.117274569709014,9.480522386802551,7.235106892866186,1.3103500096384677,0.6462156251708903,0.8846153846153846,3.0271830278244742,2.9323508254861257,0.3867085873192937,0.9101389198353574,0.015378428773554737,0.2196039111070616,0.19253255314033207,0.2368765643536477,0.027641019033881206,0.003720435809475016,0.6159704461494743,0.6422657952069717,0.6255375580183764,0.06352989885611245,0.06225403282375465,0.06254925852937757,0.09997654191376255,False,16.906863843352728,medium_high,healthy,medium,high,1,Day3_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\2-2205.jfif
9,151.83913043478262,36.88695652173913,115.0,28.75,23.556349186104043,6.050259243299904,8.553578919091349,4.7172603027311295,1.8132514150510466,0.8341778652698887,0.777027027027027,2.6043043569624413,2.001300138979733,0.5289160556477851,0.8152979677324673,0.11006997901859714,0.1619337211846115,0.09389395880944898,0.0939895953583303,4.100736814149095e-05,0.003265876828154747,0.6782267689684569,0.686069906223359,0.6743052003410059,0.04040430040604886,0.04040430040604886,0.04040430040604886,0.059458839252988324,False,8.13168825843202,medium_low,healthy,medium,low,4,Day3_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\2-2205.jfif
10,441.3,36.86,100.0,25.0,24.642135623730947,5.641895835477563,8.927287402941431,4.213067721421439,2.1189517931436126,0.881635243757109,0.7407407407407407,2.069441609570451,1.5976111595780362,0.49659723510600146,0.7377883042302124,0.15175205055148333,0.14752943264048451,0.106910356117987,0.10709209036377343,7.138381673036501e-05,0.00427641424471948,0.6273725490196078,0.6352156862745097,0.6156078431372548,0.045347918136934305,0.045347918136934305,0.045347918136934305,0.07243320118335228,False,6.753348025532257,small_medium,moderate,small,medium,4,Day3_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\2-2205.jfif
